Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
0677;2024-12-30;1;1;0;0;1;1;3;16;34;21;10;11;18;16;7;19;19;45;21;8;2;3;1;0;258;;1;0677 - Pont Willy Brandt vers Malakoff;2024-12-30;Vacances de Noël
0679;2024-12-30;0;0;0;0;0;0;0;0;2;1;1;4;2;5;5;4;3;8;2;0;2;2;0;0;41;;1;0679 - Bd Malakoff vers Gare Sud;2024-12-30;Vacances de Noël
0787;2024-12-30;1;1;0;1;0;2;12;23;128;66;50;39;44;65;55;71;62;81;73;47;29;17;6;10;883;;1;0787 - 50 Otages Vers Sud;2024-12-30;Vacances de Noël
0847;2024-12-30;14;2;6;5;5;5;7;32;83;48;25;42;64;66;50;59;97;138;125;81;52;41;33;19;1099;;1;0847 - Entrée pont Audibert vers Sud;2024-12-30;Vacances de Noël
0977;2024-12-30;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;2;2;0;0;2;0;0;0;14;;1;0977 - pont des 3 Continents vers Nord;2024-12-30;Vacances de Noël
0981;2024-12-30;0;0;0;0;0;0;0;0;4;2;1;4;5;2;3;1;5;8;2;0;3;1;1;0;42;;1;0981 - Pont Tabarly vers Nord;2024-12-30;Vacances de Noël
0997;2024-12-30;0;0;1;0;0;0;2;11;46;20;12;10;1;7;7;14;15;3;10;11;4;4;0;1;179;;1;0997 - Van Iseghem vers Sud;2024-12-30;Vacances de Noël
1054;2024-12-30;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;1;1054 -;2024-12-30;Vacances de Noël
0664;2024-12-29;12;10;5;3;0;2;1;4;4;7;8;11;11;10;14;25;13;4;24;19;14;7;13;6;227;;7;0664 - Bonduelle vers sud;2024-12-29;Vacances de Noël
0672;2024-12-29;1;4;0;2;0;0;1;2;0;7;15;9;7;7;11;11;9;9;8;4;2;1;1;2;113;;7;0672 - Pont de Pornic vers Nord;2024-12-29;Vacances de Noël
0674;2024-12-29;10;4;1;2;1;0;2;1;3;6;4;9;9;10;13;7;11;12;13;16;6;13;9;5;167;;7;0674 - Pont Haudaudine vers Sud;2024-12-29;Vacances de Noël
0676;2024-12-29;1;0;0;1;0;1;0;3;4;0;9;6;6;9;3;8;11;4;8;10;7;0;1;1;93;;7;0676 - Pont Willy Brandt vers Beaulieu;2024-12-29;Vacances de Noël
0881;2024-12-29;5;16;3;0;2;2;2;3;8;22;21;42;32;22;28;37;48;30;26;30;26;14;9;2;430;;7;0881 - Madeleine vers Sud;2024-12-29;Vacances de Noël
0681;2024-12-29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;7;0681 - Stalingrad vers est;2024-12-29;Vacances de Noël
0946;2024-12-29;5;5;1;0;1;0;0;3;0;7;4;13;4;7;10;10;4;9;9;14;6;4;5;3;124;;7;0946 - Magellan vers Est;2024-12-29;Vacances de Noël
0995;2024-12-29;2;1;0;2;0;1;1;3;3;5;9;16;12;17;15;15;21;25;14;10;7;3;5;1;188;;7;0995 - Ceineray vers Ouest;2024-12-29;Vacances de Noël
